宇宙	613	6.930737337562887	3.6806116324181652	0.2034305317324185
我们	592	5.614709844115208	3.64842925682159	0.5335176226675881
时间	403	5.700439718141093	2.3376529574002056	0.30235402017731583
引力	289	6.6865005271832185	3.613991209116066	0.3283357485230186
粒子	288	6.459431618637298	3.3400532669059997	0.10741885625965997
恒星	267	7.076815597050832	3.450273170131915	0.25329229527221353
它们	241	4.459431618637297	3.4751810145100532	0.34576271186440677
空间	229	6.39231742277876	2.3320917653220627	0.3217178376342061
可以	222	5.169925001442312	4.350885713036721	0.13683818046234153
可能	204	5.20945336562895	3.1676275845492956	0.26610871130309577
必须	173	8.507794640198696	4.792989050871603	0.17096959265633965
能量	150	4.807354922057604	3.3781564678864804	0.1690964722822174
膨胀	131	9.152284842306582	3.5092793924060905	0.4195804195804196
其他	129	5.807354922057605	2.8390696842432614	0.15943975441289332
科学	126	7.312882955284356	3.2724837738286063	0.14433170487285482
定律	120	7.4346282276367255	2.6150884241633605	0.18572898157673245
星系	118	6.523561956057013	3.047993457747912	0.20692264998234017
太阳	114	8.618385502258606	3.5497262257699167	0.1314792663476874
地球	108	7.076815597050832	2.4363491298328404	0.17102259941492268
坍缩	105	8.816983623255382	2.946646994659276	0.2730496453900709
奇点	105	7.90086680798075	2.5425544679147927	0.14333814333814335
模型	98	9.278449458220482	2.699074595765274	0.2100456621004566
方向	95	7.357552004618085	2.531905451222217	0.11161369193154035
电子	94	5.491853096329675	3.341201187790502	0.1518325541558117
发现	93	6.285402218862249	2.656621822803206	0.13878864298447757
原理	89	5.700439718141093	2.5025084034352636	0.25055670431048194
如此	86	5.78135971352466	2.14375656137626	0.2234513274336283
开始	83	7.6865005271832185	3.2262064980650105	0.2235294117647059
形成	81	6.442943495848729	3.23534973527116	0.12472687545520758
知道	81	8.103287808412023	2.778753707440749	0.22401060405226284
一种	75	3.700439718141092	2.834845723392932	0.25059254471019177
大爆炸	73	6.857980995127572	2.7445325824610425	0.16681943171402383
夸克	73	9.071462362556625	2.5136731088068323	0.2556896336126047
看到	72	5.459431618637297	2.515294594014042	0.40615773935048505
原子	68	4.754887502163469	3.3730495137701912	0.3671720500988794
测量	67	5.392317422778761	3.1651260863294093	0.18344308560677328
一些	61	3.3219280948873626	3.3632323436573937	0.2674922938432581
相当	60	5.129283016944966	4.044721049540485	0.17937853107344634
自己	60	8.73470962022584	2.292131028311999	0.3383177570093458
描述	59	9.76487159073609	3.177453562095823	0.20938628158844766
尺度	58	7.679480099505446	2.0347142658289896	0.21723300970873785
最终	58	7.592457037268081	3.493130297402141	0.1079136690647482
甚至	58	8.933690654952235	2.498115692470905	0.27416734362307066
得到	57	4.08746284125034	3.866397972898942	0.14096749811035525
旋转	56	8.57742882803575	2.8416223326536927	0.1592585210285031
绕着	55	8.379378367071263	3.4814995371108863	0.29094076655052264
确定	54	5.643856189774724	2.250064063769657	0.26157299167679793
收缩	52	8.388017285345136	2.6584413264016753	0.2680995475113122
温度	52	7.383704292474053	2.282581562281958	0.5299830284744484
以及	51	6.22881869049588	4.05984189484563	0.2583668005354752
吸引	51	7.392317422778761	2.429161639844529	0.22203171881697387
爱因斯坦	51	10.100662339005199	2.2907585588572026	0.31946600434647626
互相	49	6.442943495848729	3.9400597132790875	0.18678594524682043
完全	49	9.169925001442314	2.8757010140811596	0.18382861091914304
按照	49	10.344295907915818	2.071655956881804	0.2500544543672403
同样	48	5.044394119358453	2.3437107169296323	0.3673640167364017
时刻	48	6.357552004618085	2.018491711854752	0.30235402017731583
使得	46	5.247927513443585	3.0835909587014916	0.2326782564877803
发出	45	4.700439718141093	2.4317187581340103	0.13053040103492886
一起	42	3.3219280948873626	2.1995458812461863	0.2674922938432581
假定	42	6.845490050944376	2.0921760461689294	0.26157299167679793
已经	42	8.417852514885897	3.716590270216766	0.10181178023912565
相信	42	6.303780748177103	3.2062808149662585	0.18215857916308253
成一	41	2.321928094887362	2.321648990310259	0.10614037480564117
提出	41	6.614709844115209	2.624891028586188	0.13053040103492886
确实	41	6.044394119358453	3.526001177061966	0.13794545758741844
变得	40	5.0	2.7110708895720106	0.2326782564877803
仍然	39	7.219168520462162	3.830811040575054	0.26399433141006173
几乎	39	8.471675214392045	3.5069856435727287	0.4715242881072027
发展	39	7.507794640198696	2.391494959575479	0.13878864298447757
基本	39	8.276124405274238	2.3208568184943643	0.1527294722516256
密度	39	6.857980995127572	2.7270833083284707	0.26363287250384027
形式	39	7.400879436282184	2.369578216696675	0.12472687545520758
称为	39	5.169925001442312	2.9501894544093212	0.20449308755760368
人类	38	5.321928094887363	2.6661513131798866	0.13589632038101343
初始	38	7.90086680798075	2.532310423972251	0.2235294117647059
变成	38	5.169925001442312	3.8397755396455096	0.26921414368462004
意味着	37	8.672425341971495	2.3212808490834362	0.18849793021880545
改变	37	8.159871336778389	2.5826033818475795	0.21494102228047182
历史	36	10.280770770130603	2.0366802100124577	0.284632158843108
成为	36	3.5849625007211565	3.7499412381433186	0.2534637326813366
生命	36	6.977279923499917	2.4910760598382216	0.16591019822037592
科学家	36	7.4346282276367255	3.0067499186387785	0.14433170487285482
世界	35	8.159871336778389	2.7550970519251776	0.23943938699325432
得更	34	5.08746284125034	3.14704612210219	0.11949976841130153
准确	33	7.948367231584678	2.1288961596109264	0.16432673899170389
包含	33	9.861086905995393	3.6259506252016735	0.11569731081926204
将其	32	4.523561956057013	3.7998008763572906	0.1391020721412126
使之	31	4.643856189774724	2.8450325044109346	0.2637293579583144
到它	31	2.321928094887362	2.241051290708793	0.14584382871536525
